;;;;;;;;
UF;Município;Código Escola no INEP;CNPJ;Entidade;Segmento;Número de Alunos;Categoria;Conveniada
BA;BREJOLANDIA;29529409;;ESCOLA FAMILIA AGRICOLA PADRE LUIS LINTNER;ENSINO FUNDAMENTAL INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 107 ;Comunitária;Estadual
BA;BREJOLANDIA;29529409;;ESCOLA FAMILIA AGRICOLA PADRE LUIS LINTNER;ENSINO FUNDAMENTAL INTEGRAL CAMPO ALTERNÂNCIA CONVENIADA ESPECIAL; 1 ;Comunitária;Estadual
BA;BROTAS DE MACAUBAS;29464498;12471177000155;ESCOLA FAMILIA AGRICOLA REGIONAL;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 83 ;Comunitária;Estadual
BA;BROTAS DE MACAUBAS;29464498;12471177000155;ESCOLA FAMILIA AGRICOLA REGIONAL;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA ESPECIAL; 3 ;Comunitária;Estadual
BA;CACULE;29241065;;ESCOLA FAMILIA AGRICOLA DE CACULE;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 154 ;Comunitária;Estadual
BA;CACULE;29241065;;ESCOLA FAMILIA AGRICOLA DE CACULE;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA ESPECIAL; 3 ;Comunitária;Estadual
BA;CAMACARI;29446163;1429820000166;ASSOCIACAO DE PAIS E MESTRES ESCOLA COM EMANUEL;CRECHE INTEGRAL CONVENIADA; 45 ;Comunitária;Municipal
BA;CAMACARI;29446163;1429820000166;ASSOCIACAO DE PAIS E MESTRES ESCOLA COM EMANUEL;PRÉ-ESCOLA INTEGRAL CONVENIADA; 18 ;Comunitária;Municipal
BA;CAMACARI;29446163;1429820000166;ASSOCIACAO DE PAIS E MESTRES ESCOLA COM EMANUEL;PRÉ-ESCOLA INTEGRAL CONVENIADA ESPECIAL; 4 ;Comunitária;Municipal
BA;CAMACARI;29404231;3376425000279;ASSOCIACAO PAULO TONUCCI;CRECHE PARCIAL CONVENIADA; 57 ;Comunitária;Municipal
BA;CAMACARI;29404231;3376425000279;ASSOCIACAO PAULO TONUCCI;PRÉ-ESCOLA PARCIAL CONVENIADA; 75 ;Comunitária;Municipal
BA;CAMACARI;29404231;3376425000279;ASSOCIACAO PAULO TONUCCI;EDUCAÇÃO ESPECIAL CONVENIADA - CRECHE ; 2 ;Comunitária;Municipal
BA;CAMACARI;29404231;3376425000279;ASSOCIACAO PAULO TONUCCI;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 8 ;Comunitária;Municipal
BA;CAMACARI;29446007;5611902000188;CENTRO COMUNITARIO DE DESENVOLVIMENTO RECANTO DAS ARVORES;PRÉ-ESCOLA INTEGRAL CONVENIADA; 38 ;Comunitária;Municipal
BA;CAMACARI;29446007;5611902000188;CENTRO COMUNITARIO DE DESENVOLVIMENTO RECANTO DAS ARVORES;CRECHE PARCIAL CONVENIADA; 65 ;Comunitária;Municipal
BA;CAMACARI;29745624;5133450000176;CRECHE COMUNITARIA ESPERANCA DA ESTIVA;CRECHE INTEGRAL CONVENIADA; 79 ;Comunitária;Municipal
BA;CAMACARI;29745624;5133450000176;CRECHE COMUNITARIA ESPERANCA DA ESTIVA;PRÉ-ESCOLA INTEGRAL CONVENIADA; 70 ;Comunitária;Municipal
BA;CAMACARI;29745624;5133450000176;CRECHE COMUNITARIA ESPERANCA DA ESTIVA;PRÉ-ESCOLA INTEGRAL CONVENIADA ESPECIAL; 2 ;Comunitária;Municipal
BA;CAMACARI;29743630;2840677000163;CRECHE COMUNITARIA SENHORA SANTANA;CRECHE INTEGRAL CONVENIADA; 49 ;Comunitária;Municipal
BA;CAMACARI;29743630;2840677000163;CRECHE COMUNITARIA SENHORA SANTANA;PRÉ-ESCOLA INTEGRAL CONVENIADA; 95 ;Comunitária;Municipal
BA;CAMACARI;29743630;2840677000163;CRECHE COMUNITARIA SENHORA SANTANA;PRÉ-ESCOLA INTEGRAL CONVENIADA ESPECIAL; 2 ;Comunitária;Municipal
BA;CAMACARI;29446180;5514858000430;CRECHE ESPERANCA II;CRECHE PARCIAL CONVENIADA; 55 ;Comunitária;Municipal
BA;CAMACARI;29446180;5514858000430;CRECHE ESPERANCA II;PRÉ-ESCOLA PARCIAL CONVENIADA; 76 ;Comunitária;Municipal
BA;CAMACARI;29446180;5514858000430;CRECHE ESPERANCA II;EDUCAÇÃO ESPECIAL CONVENIADA - CRECHE ; 1 ;Comunitária;Municipal
BA;CAMACARI;29446180;5514858000430;CRECHE ESPERANCA II;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 1 ;Comunitária;Municipal
BA;CAMACARI;29446856;34328203000204;CRECHE ESPERANCA IV;CRECHE PARCIAL CONVENIADA; 45 ;Comunitária;Municipal
BA;CAMACARI;29446856;34328203000204;CRECHE ESPERANCA IV;PRÉ-ESCOLA PARCIAL CONVENIADA; 48 ;Comunitária;Municipal
