Cronograma da Complementação da União-VAAF 2026 - Portaria Interministerial MEC MF nº 11, de 28 de Agosto de 2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;"Janeiro do
Ano Seguinte";Total
AL;MARAVILHA;2704609; 262.271,77 ; 288.498,94 ; 314.726,12 ; 340.953,30 ; 402.608,00 ; 427.136,43 ; 427.136,43 ; 455.612,20 ; 463.795,86 ; 466.155,76 ; 466.155,76 ; 466.155,76 ; 861.173,58 ; 5.642.379,90 
AL;MARECHAL DEODORO;2704708; 902.511,61 ; 992.762,78 ; 1.083.013,94 ; 1.173.265,10 ; 1.385.427,07 ; 1.469.832,60 ; 1.469.832,60 ; 1.567.821,44 ; 1.632.962,87 ; 1.609.199,27 ; 1.609.199,27 ; 1.609.199,27 ; 2.972.825,87 ; 19.477.853,69 
AL;MARIBONDO;2704807; 173.035,53 ; 190.339,08 ; 207.642,64 ; 224.946,19 ; 265.623,30 ; 281.806,08 ; 281.806,08 ; 300.593,16 ; 305.992,38 ; 307.549,34 ; 307.549,34 ; 307.549,34 ; 568.164,96 ; 3.722.597,41 
AL;MATA GRANDE;2705002; 367.764,88 ; 404.541,37 ; 441.317,86 ; 478.094,34 ; 564.548,32 ; 598.942,77 ; 598.942,77 ; 638.872,29 ; 653.805,10 ; 654.133,22 ; 654.133,22 ; 654.133,22 ; 1.208.442,11 ; 7.917.671,48 
AL;MATRIZ DE CAMARAGIBE;2705101; 355.933,82 ; 391.527,20 ; 427.120,59 ; 462.713,97 ; 546.386,70 ; 579.674,68 ; 579.674,68 ; 618.319,66 ; 638.703,74 ; 633.907,05 ; 633.907,05 ; 633.907,05 ; 1.171.076,40 ; 7.672.852,60 
AL;MESSIAS;2705200; 250.634,70 ; 275.698,17 ; 300.761,64 ; 325.825,11 ; 384.744,20 ; 408.184,28 ; 408.184,28 ; 435.396,57 ; 450.414,24 ; 446.464,10 ; 446.464,10 ; 446.464,10 ; 824.795,32 ; 5.404.030,81 
AL;MINADOR DO NEGRAO;2705309; 115.598,61 ; 127.158,47 ; 138.718,33 ; 150.278,19 ; 177.453,05 ; 188.264,17 ; 188.264,17 ; 200.815,12 ; 204.422,14 ; 205.462,28 ; 205.462,28 ; 205.462,28 ; 379.569,89 ; 2.486.928,99 
AL;MONTEIROPOLIS;2705408; 184.948,86 ; 203.443,74 ; 221.938,63 ; 240.433,51 ; 283.911,19 ; 301.208,15 ; 301.208,15 ; 321.288,70 ; 328.420,11 ; 328.911,28 ; 328.911,28 ; 328.911,28 ; 607.628,89 ; 3.981.163,77 
AL;MURICI;2705507; 521.975,65 ; 574.173,21 ; 626.370,78 ; 678.568,34 ; 801.274,10 ; 850.090,80 ; 850.090,80 ; 906.763,52 ; 924.768,52 ; 927.984,13 ; 927.984,13 ; 927.984,13 ; 1.714.352,77 ; 11.232.380,87 
AL;NOVO LINO;2705606; 261.035,48 ; 287.139,04 ; 313.242,59 ; 339.346,13 ; 400.710,22 ; 425.123,03 ; 425.123,03 ; 453.464,56 ; 461.953,56 ; 464.005,82 ; 464.005,82 ; 464.005,82 ; 857.201,79 ; 5.616.356,88 
AL;OLHO DAGUA DAS FLORES;2705705; 316.831,76 ; 348.514,94 ; 380.198,11 ; 411.881,29 ; 486.361,94 ; 515.992,97 ; 515.992,97 ; 550.392,50 ; 569.267,81 ; 564.368,18 ; 564.368,18 ; 564.368,18 ; 1.042.610,66 ; 6.831.149,48 
AL;OLHO DAGUA DO CASADO;2705804; 155.904,64 ; 171.495,11 ; 187.085,57 ; 202.676,04 ; 239.326,02 ; 253.906,68 ; 253.906,68 ; 270.833,79 ; 276.671,14 ; 277.235,34 ; 277.235,34 ; 277.235,34 ; 512.163,04 ; 3.355.674,73 
AL;OLHO DAGUA GRANDE;2705903; 109.986,65 ; 120.985,32 ; 131.983,99 ; 142.982,65 ; 168.838,26 ; 179.124,53 ; 179.124,53 ; 191.066,17 ; 194.498,08 ; 195.487,73 ; 195.487,73 ; 195.487,73 ; 361.142,96 ; 2.366.196,33 
AL;OLIVENCA;2706000; 241.062,96 ; 265.169,26 ; 289.275,56 ; 313.381,85 ; 370.050,81 ; 392.595,73 ; 392.595,73 ; 418.768,77 ; 428.202,62 ; 428.723,20 ; 428.723,20 ; 428.723,20 ; 792.020,87 ; 5.189.293,75 
AL;OURO BRANCO;2706109; 231.263,42 ; 254.389,75 ; 277.516,09 ; 300.642,44 ; 355.007,71 ; 376.636,15 ; 376.636,15 ; 401.745,23 ; 418.074,23 ; 412.298,02 ; 412.298,02 ; 412.298,02 ; 761.677,09 ; 4.990.482,33 
AL;PALESTINA;2706208; 98.178,04 ; 107.995,85 ; 117.813,65 ; 127.631,46 ; 150.711,10 ; 159.893,00 ; 159.893,00 ; 170.552,53 ; 175.422,05 ; 174.748,26 ; 174.748,26 ; 174.748,26 ; 322.828,98 ; 2.115.164,44 
AL;PALMEIRA DOS INDIOS;2706307; 783.126,86 ; 861.439,55 ; 939.752,24 ; 1.018.064,93 ; 1.202.161,99 ; 1.275.402,31 ; 1.275.402,31 ; 1.360.429,13 ; 1.386.239,09 ; 1.392.100,89 ; 1.392.100,89 ; 1.392.100,89 ; 2.571.759,51 ; 16.850.080,59 
AL;PAO DE ACUCAR;2706406; 361.426,57 ; 397.569,22 ; 433.711,88 ; 469.854,54 ; 554.818,50 ; 588.620,18 ; 588.620,18 ; 627.861,53 ; 644.944,52 ; 643.191,21 ; 643.191,21 ; 643.191,21 ; 1.188.227,90 ; 7.785.228,64 
AL;PARICONHA;2706422; 173.437,44 ; 190.781,19 ; 208.124,94 ; 225.468,68 ; 266.240,26 ; 282.460,65 ; 282.460,65 ; 301.291,35 ; 318.316,37 ; 309.864,05 ; 309.864,05 ; 309.864,05 ; 572.441,14 ; 3.750.614,82 
AL;PARIPUEIRA;2706448; 215.559,31 ; 237.115,24 ; 258.671,17 ; 280.227,11 ; 330.900,67 ; 351.060,42 ; 351.060,42 ; 374.464,44 ; 388.605,72 ; 384.151,97 ; 384.151,97 ; 384.151,97 ; 709.680,23 ; 4.649.800,63 
AL;PASSO DE CAMARAGIBE;2706505; 234.505,39 ; 257.955,92 ; 281.406,46 ; 304.857,00 ; 359.984,41 ; 381.916,04 ; 381.916,04 ; 407.377,11 ; 415.891,13 ; 416.969,35 ; 416.969,35 ; 416.969,35 ; 770.306,89 ; 5.047.024,44 
AL;PAULO JACINTO;2706604; 85.658,00 ; 94.223,80 ; 102.789,60 ; 111.355,40 ; 131.491,83 ; 139.502,82 ; 139.502,82 ; 148.803,01 ; 154.917,46 ; 152.720,81 ; 152.720,81 ; 152.720,81 ; 282.135,59 ; 1.848.542,77 
AL;PENEDO;2706703; 793.458,26 ; 872.804,09 ; 952.149,92 ; 1.031.495,74 ; 1.218.021,50 ; 1.292.228,05 ; 1.292.228,05 ; 1.378.376,58 ; 1.428.215,49 ; 1.413.730,53 ; 1.413.730,53 ; 1.413.730,53 ; 2.611.718,01 ; 17.111.887,28 
AL;PIACABUCU;2706802; 256.980,17 ; 282.678,19 ; 308.376,21 ; 334.074,23 ; 394.485,00 ; 418.518,54 ; 418.518,54 ; 446.419,77 ; 454.438,32 ; 456.750,60 ; 456.750,60 ; 456.750,60 ; 843.798,55 ; 5.528.539,33 
AL;PILAR;2706901; 696.876,64 ; 766.564,30 ; 836.251,97 ; 905.939,63 ; 1.069.761,03 ; 1.134.934,98 ; 1.134.934,98 ; 1.210.597,31 ; 1.243.046,67 ; 1.240.087,54 ; 1.240.087,54 ; 1.240.087,54 ; 2.290.930,89 ; 15.010.101,00 
AL;PINDOBA;2707008; 41.880,30 ; 46.068,33 ; 50.256,36 ; 54.444,39 ; 64.289,60 ; 68.206,36 ; 68.206,36 ; 72.753,45 ; 74.060,24 ; 74.437,08 ; 74.437,08 ; 74.437,08 ; 137.514,64 ; 900.991,26 
AL;PIRANHAS;2707107; 363.102,61 ; 399.412,87 ; 435.723,14 ; 472.033,40 ; 557.391,38 ; 591.349,79 ; 591.349,79 ; 630.773,11 ; 651.141,53 ; 646.615,71 ; 646.615,71 ; 646.615,71 ; 1.194.554,31 ; 7.826.679,07 
AL;POCO DAS TRINCHEIRAS;2707206; 237.627,57 ; 261.390,33 ; 285.153,09 ; 308.915,85 ; 364.777,21 ; 387.000,84 ; 387.000,84 ; 412.800,90 ; 420.215,59 ; 422.353,74 ; 422.353,74 ; 422.353,74 ; 780.253,97 ; 5.112.197,40 
