 ANEXO V ;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de Agosto de 2026;;;;;;;;;;;;;;;;
 Cronograma de Desembolso da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, § 2º da Lei nº 14.113/2020) ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;"Janeiro do
Ano Seguinte";Total
AL;BRANQUINHA;2701100; 534.864,25 ; 588.350,68 ; 641.837,10 ; 695.323,53 ; 750.638,46 ; 801.768,42 ; 801.768,42 ; 855.219,64 ; 858.138,27 ; 858.137,21 ; 858.137,21 ; 858.137,21 ; 1.585.317,93 ; 10.687.638,33 
AL;CACIMBINHAS;2701209; 56.818,05 ; 62.499,86 ; 68.181,66 ; 73.863,47 ; 79.557,00 ; 84.976,05 ; 84.976,05 ; 90.641,12 ; 95.614,47 ; 95.614,35 ; 95.614,35 ; 95.614,35 ; 176.637,44 ; 1.160.608,22 
AL;CAJUEIRO;2701308; 965.920,47 ; 1.062.512,51 ; 1.159.104,56 ; 1.255.696,61 ; 1.355.724,73 ; 1.448.070,32 ; 1.448.070,32 ; 1.544.608,34 ; 1.550.410,72 ; 1.550.408,80 ; 1.550.408,80 ; 1.550.408,80 ; 2.864.216,64 ; 19.305.561,62 
AL;CAMPESTRE;2701357; 309.799,16 ; 340.779,08 ; 371.758,99 ; 402.738,91 ; 434.795,87 ; 464.412,12 ; 464.412,12 ; 495.372,94 ; 497.134,67 ; 497.134,06 ; 497.134,06 ; 497.134,06 ; 918.402,75 ; 6.191.008,79 
AL;CAMPO ALEGRE;2701407; 4.064.616,91 ; 4.471.078,60 ; 4.877.540,29 ; 5.284.001,98 ; 5.705.385,04 ; 6.094.009,03 ; 6.094.009,03 ; 6.500.276,30 ; 6.526.527,50 ; 6.526.519,42 ; 6.526.519,42 ; 6.526.519,42 ; 12.057.056,02 ; 81.254.058,96 
AL;CAMPO GRANDE;2701506; 278.359,44 ; 306.195,38 ; 334.031,33 ; 361.867,27 ; 390.598,95 ; 417.204,71 ; 417.204,71 ; 445.018,36 ; 446.315,52 ; 446.314,97 ; 446.314,97 ; 446.314,97 ; 824.519,86 ; 5.560.260,44 
AL;CANAPI;2701605; 1.023.016,50 ; 1.125.318,15 ; 1.227.619,80 ; 1.329.921,45 ; 1.435.761,80 ; 1.533.559,14 ; 1.533.559,14 ; 1.635.796,41 ; 1.660.116,95 ; 1.660.114,90 ; 1.660.114,90 ; 1.660.114,90 ; 3.066.887,08 ; 20.551.901,12 
AL;CAPELA;2701704; 666.364,76 ; 733.001,24 ; 799.637,71 ; 866.274,19 ; 935.206,57 ; 998.908,45 ; 998.908,45 ; 1.065.502,34 ; 1.085.720,37 ; 1.085.719,03 ; 1.085.719,03 ; 1.085.719,03 ; 2.005.751,31 ; 13.412.432,48 
AL;CARNEIROS;2701803; 480.077,86 ; 528.085,64 ; 576.093,43 ; 624.101,22 ; 673.789,85 ; 719.685,25 ; 719.685,25 ; 767.664,26 ; 778.362,61 ; 778.361,64 ; 778.361,64 ; 778.361,64 ; 1.437.940,99 ; 9.640.571,28 
AL;CHA PRETA;2701902; 172.533,48 ; 189.786,82 ; 207.040,17 ; 224.293,52 ; 242.114,39 ; 258.606,08 ; 258.606,08 ; 275.846,49 ; 278.492,40 ; 278.492,06 ; 278.492,06 ; 278.492,06 ; 514.484,73 ; 3.457.280,34 
