Anexo VII;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de agosto de 2026;;;;;;;;;;;;;;;;
Cronograma de Desembolso da Complementação da União-VAAR ao Fundeb no Ano de 2026 (art. 16, § 2º, da Lei nº 14.113/2020);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código 
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Janeiro do ano seguinte;Total
PE;BELEM DE MARIA;2601508; 66.024,70 ; 72.627,17 ; 79.229,64 ; 85.832,11 ; 92.088,38 ; 98.950,51 ; 98.950,51 ; 105.547,21 ; 107.867,31 ; 108.068,57 ; 108.068,57 ; 108.068,57 ; 199.645,28 ; 1.330.968,53 
PE;BETANIA;2601805; 86.651,01 ; 95.316,12 ; 103.981,22 ; 112.646,32 ; 120.860,96 ; 129.863,93 ; 129.863,93 ; 138.521,53 ; 141.530,40 ; 141.825,77 ; 141.825,77 ; 141.825,77 ; 262.008,13 ; 1.746.720,86 
PE;BOM CONSELHO;2602100; 212.430,43 ; 233.673,47 ; 254.916,51 ; 276.159,56 ; 296.288,87 ; 318.367,22 ; 318.367,22 ; 339.591,71 ; 347.055,70 ; 347.703,93 ; 347.703,93 ; 347.703,93 ; 642.346,33 ; 4.282.308,81 
PE;BOM JARDIM;2602209; 169.824,81 ; 186.807,29 ; 203.789,77 ; 220.772,25 ; 236.863,98 ; 254.514,54 ; 254.514,54 ; 271.482,17 ; 277.452,88 ; 277.967,88 ; 277.967,88 ; 277.967,88 ; 513.516,33 ; 3.423.442,20 
PE;BUENOS AIRES;2602704; 30.429,91 ; 33.472,90 ; 36.515,89 ; 39.558,89 ; 42.454,84 ; 45.608,10 ; 45.608,10 ; 48.648,64 ; 49.604,26 ; 49.795,55 ; 49.795,55 ; 49.795,55 ; 91.992,02 ; 613.280,20 
PE;BUIQUE;2602803; 271.179,82 ; 298.297,80 ; 325.415,78 ; 352.533,76 ; 378.227,34 ; 406.413,64 ; 406.413,64 ; 433.507,89 ; 443.060,55 ; 443.866,87 ; 443.866,87 ; 443.866,87 ; 819.997,21 ; 5.466.648,04 
PE;CABO DE SANTO AGOSTINHO;2602902; 933.163,85 ; 1.026.480,24 ; 1.119.796,62 ; 1.213.113,00 ; 1.301.527,99 ; 1.398.520,44 ; 1.398.520,44 ; 1.491.755,14 ; 1.524.627,19 ; 1.527.401,74 ; 1.527.401,74 ; 1.527.401,74 ; 2.821.713,56 ; 18.811.423,69 
PE;CABROBO;2603009; 88.558,46 ; 97.414,30 ; 106.270,15 ; 115.125,99 ; 123.483,63 ; 132.713,14 ; 132.713,14 ; 141.560,68 ; 144.981,75 ; 144.983,78 ; 144.983,78 ; 144.983,78 ; 267.842,23 ; 1.785.614,81 
PE;CACHOEIRINHA;2603108; 83.903,13 ; 92.293,44 ; 100.683,75 ; 109.074,06 ; 117.024,22 ; 125.744,67 ; 125.744,67 ; 134.127,65 ; 137.077,60 ; 137.331,96 ; 137.331,96 ; 137.331,96 ; 253.706,31 ; 1.691.375,38 
PE;CALUMBI;2603405; 44.081,75 ; 48.489,92 ; 52.898,09 ; 57.306,27 ; 61.483,28 ; 66.064,84 ; 66.064,84 ; 70.469,15 ; 72.018,27 ; 72.152,57 ; 72.152,57 ; 72.152,57 ; 133.294,26 ; 888.628,38 
PE;CAMUTANGA;2603603; 35.706,23 ; 39.276,85 ; 42.847,47 ; 46.418,09 ; 49.801,16 ; 53.512,44 ; 53.512,44 ; 57.079,94 ; 58.338,33 ; 58.443,98 ; 58.443,98 ; 58.443,98 ; 107.969,09 ; 719.793,98 
PE;CANHOTINHO;2603702; 131.687,10 ; 144.855,81 ; 158.024,52 ; 171.193,23 ; 183.670,89 ; 197.357,91 ; 197.357,91 ; 210.515,10 ; 215.147,55 ; 215.544,66 ; 215.544,66 ; 215.544,66 ; 398.196,00 ; 2.654.640,00 
PE;CAPOEIRAS;2603801; 105.596,70 ; 116.156,37 ; 126.716,04 ; 137.275,71 ; 147.280,29 ; 158.256,30 ; 158.256,30 ; 168.806,72 ; 172.529,75 ; 172.840,91 ; 172.840,91 ; 172.840,91 ; 319.305,34 ; 2.128.702,25 
PE;CARNAIBA;2603900; 137.636,86 ; 151.400,55 ; 165.164,23 ; 178.927,92 ; 191.973,14 ; 206.275,69 ; 206.275,69 ; 220.027,41 ; 224.834,53 ; 225.279,58 ; 225.279,58 ; 225.279,58 ; 416.180,26 ; 2.774.535,02 
PE;CARNAUBEIRA DA PENHA;2603926; 44.533,71 ; 48.987,08 ; 53.440,45 ; 57.893,82 ; 62.115,59 ; 66.742,67 ; 66.742,67 ; 71.192,18 ; 72.739,52 ; 72.890,51 ; 72.890,51 ; 72.890,51 ; 134.657,51 ; 897.716,73 
PE;CARPINA;2604007; 280.362,85 ; 308.399,14 ; 336.435,42 ; 364.471,71 ; 391.039,57 ; 420.177,19 ; 420.177,19 ; 448.189,01 ; 458.026,48 ; 458.893,62 ; 458.893,62 ; 458.893,62 ; 847.757,55 ; 5.651.716,97 
PE;CASINHAS;2604155; 108.194,80 ; 119.014,28 ; 129.833,76 ; 140.653,24 ; 150.912,04 ; 162.152,04 ; 162.152,04 ; 172.962,18 ; 176.703,64 ; 177.085,88 ; 177.085,88 ; 177.085,88 ; 327.147,48 ; 2.180.983,14 
PE;CATENDE;2604205; 137.422,00 ; 151.164,20 ; 164.906,40 ; 178.648,60 ; 191.671,08 ; 205.953,09 ; 205.953,09 ; 219.683,30 ; 224.504,65 ; 224.930,17 ; 224.930,17 ; 224.930,17 ; 415.534,76 ; 2.770.231,68 
PE;CEDRO;2604304; 53.984,65 ; 59.383,11 ; 64.781,58 ; 70.180,04 ; 75.295,26 ; 80.906,17 ; 80.906,17 ; 86.299,92 ; 88.198,33 ; 88.361,68 ; 88.361,68 ; 88.361,68 ; 163.238,88 ; 1.088.259,15 
PE;CHA DE ALEGRIA;2604403; 72.046,35 ; 79.250,99 ; 86.455,62 ; 93.660,26 ; 100.485,94 ; 107.974,81 ; 107.974,81 ; 115.173,13 ; 117.715,30 ; 117.925,84 ; 117.925,84 ; 117.925,84 ; 217.855,55 ; 1.452.370,28 
PE;CHA GRANDE;2604502; 155.425,78 ; 170.968,36 ; 186.510,94 ; 202.053,52 ; 216.780,80 ; 232.934,85 ; 232.934,85 ; 248.463,84 ; 253.928,98 ; 254.399,74 ; 254.399,74 ; 254.399,74 ; 469.976,68 ; 3.133.177,82 
PE;CORRENTES;2604700; 85.287,26 ; 93.815,98 ; 102.344,71 ; 110.873,43 ; 118.954,51 ; 127.818,98 ; 127.818,98 ; 136.340,25 ; 139.341,25 ; 139.597,75 ; 139.597,75 ; 139.597,75 ; 257.892,11 ; 1.719.280,71 
PE;CUMARU;2604908; 93.953,25 ; 103.348,57 ; 112.743,90 ; 122.139,22 ; 131.041,98 ; 140.806,74 ; 140.806,74 ; 150.193,86 ; 153.494,68 ; 153.781,67 ; 153.781,67 ; 153.781,67 ; 284.095,41 ; 1.893.969,36 
PE;CUPIRA;2605004; 186.004,92 ; 204.605,41 ; 223.205,91 ; 241.806,40 ; 259.438,13 ; 278.765,20 ; 278.765,20 ; 297.349,55 ; 303.826,41 ; 304.444,83 ; 304.444,83 ; 304.444,83 ; 562.429,70 ; 3.749.531,32 
PE;CUSTODIA;2605103; 238.304,53 ; 262.134,98 ; 285.965,43 ; 309.795,89 ; 332.393,79 ; 357.148,67 ; 357.148,67 ; 380.958,58 ; 389.178,06 ; 390.038,41 ; 390.038,41 ; 390.038,41 ; 720.554,80 ; 4.803.698,63 
PE;ESCADA;2605202; 216.719,44 ; 238.391,38 ; 260.063,32 ; 281.735,26 ; 302.266,11 ; 324.793,89 ; 324.793,89 ; 346.446,82 ; 354.106,11 ; 354.728,78 ; 354.728,78 ; 354.728,78 ; 655.323,99 ; 4.368.826,55 
PE;EXU;2605301; 172.739,86 ; 190.013,84 ; 207.287,83 ; 224.561,82 ; 240.930,37 ; 258.883,44 ; 258.883,44 ; 276.142,33 ; 282.209,92 ; 282.738,63 ; 282.738,63 ; 282.738,63 ; 522.329,78 ; 3.482.198,52 
PE;FERREIROS;2605509; 50.594,41 ; 55.653,85 ; 60.713,29 ; 65.772,73 ; 70.566,65 ; 75.825,25 ; 75.825,25 ; 80.880,27 ; 82.659,76 ; 82.812,59 ; 82.812,59 ; 82.812,59 ; 152.987,52 ; 1.019.916,75 
PE;FLORES;2605608; 98.645,23 ; 108.509,75 ; 118.374,28 ; 128.238,80 ; 137.586,65 ; 147.838,70 ; 147.838,70 ; 157.694,61 ; 161.155,50 ; 161.460,96 ; 161.460,96 ; 161.460,96 ; 298.282,08 ; 1.988.547,18 
PE;GAMELEIRA;2605905; 101.956,41 ; 112.152,06 ; 122.347,70 ; 132.543,34 ; 142.203,05 ; 152.800,66 ; 152.800,66 ; 162.987,37 ; 166.581,98 ; 166.882,48 ; 166.882,48 ; 166.882,48 ; 308.297,77 ; 2.055.318,44 
PE;GOIANA;2606200; 341.475,46 ; 375.623,01 ; 409.770,55 ; 443.918,10 ; 476.271,00 ; 511.764,55 ; 511.764,55 ; 545.882,19 ; 557.920,40 ; 558.927,69 ; 558.927,69 ; 558.927,69 ; 1.032.559,93 ; 6.883.732,81 
PE;IBIRAJUBA;2606705; 39.347,41 ; 43.282,16 ; 47.216,90 ; 51.151,64 ; 54.879,72 ; 58.969,44 ; 58.969,44 ; 62.900,73 ; 64.287,47 ; 64.403,88 ; 64.403,88 ; 64.403,88 ; 118.979,38 ; 793.195,93 
PE;IGARASSU;2606804; 491.975,21 ; 541.172,73 ; 590.370,25 ; 639.567,77 ; 686.185,57 ; 737.317,90 ; 737.317,90 ; 786.472,42 ; 803.763,00 ; 805.260,42 ; 805.260,42 ; 805.260,42 ; 1.487.633,66 ; 9.917.557,67 
PE;ILHA DE ITAMARACA;2607604; 66.145,11 ; 72.759,62 ; 79.374,13 ; 85.988,64 ; 92.256,87 ; 99.131,10 ; 99.131,10 ; 105.739,84 ; 108.059,06 ; 108.265,13 ; 108.265,13 ; 108.265,13 ; 200.008,39 ; 1.333.389,25 
PE;INGAZEIRA;2607109; 31.233,91 ; 34.357,30 ; 37.480,69 ; 40.604,08 ; 43.563,85 ; 46.809,95 ; 46.809,95 ; 49.930,61 ; 51.027,50 ; 51.123,29 ; 51.123,29 ; 51.123,29 ; 94.444,88 ; 629.632,59 
PE;IPOJUCA;2607208; 707.639,64 ; 778.403,61 ; 849.167,57 ; 919.931,54 ; 986.983,75 ; 1.060.531,55 ; 1.060.531,55 ; 1.131.233,65 ; 1.156.114,60 ; 1.158.259,06 ; 1.158.259,06 ; 1.158.259,06 ; 2.139.761,41 ; 14.265.076,05 
PE;ITAPETIM;2607703; 37.016,75 ; 40.718,42 ; 44.420,10 ; 48.121,77 ; 51.615,27 ; 55.473,07 ; 55.473,07 ; 59.171,27 ; 60.601,25 ; 60.602,10 ; 60.602,10 ; 60.602,10 ; 111.955,98 ; 746.373,25 
PE;JAQUEIRA;2607950; 68.745,00 ; 75.619,50 ; 82.494,00 ; 89.368,50 ; 95.881,38 ; 103.027,12 ; 103.027,12 ; 109.895,59 ; 112.321,27 ; 112.522,17 ; 112.522,17 ; 112.522,17 ; 207.872,83 ; 1.385.818,82 
PE;JATAUBA;2608008; 50.352,84 ; 55.388,12 ; 60.423,40 ; 65.458,69 ; 70.210,65 ; 75.458,44 ; 75.458,44 ; 80.489,01 ; 82.434,18 ; 82.435,32 ; 82.435,32 ; 82.435,32 ; 152.290,55 ; 1.015.270,28 
PE;JOAQUIM NABUCO;2608206; 70.802,05 ; 77.882,26 ; 84.962,46 ; 92.042,67 ; 98.751,32 ; 106.110,20 ; 106.110,20 ; 113.184,22 ; 115.674,86 ; 115.888,38 ; 115.888,38 ; 115.888,38 ; 214.091,54 ; 1.427.276,92 
PE;JUREMA;2608404; 96.872,69 ; 106.559,95 ; 116.247,22 ; 125.934,49 ; 135.113,30 ; 145.181,93 ; 145.181,93 ; 154.860,72 ; 158.269,40 ; 158.560,73 ; 158.560,73 ; 158.560,73 ; 292.924,21 ; 1.952.828,03 
PE;LAGOA DE ITAENGA;2608503; 80.894,86 ; 88.984,35 ; 97.073,83 ; 105.163,32 ; 112.828,38 ; 121.236,21 ; 121.236,21 ; 129.318,62 ; 132.163,15 ; 132.408,09 ; 132.408,09 ; 132.408,09 ; 244.609,98 ; 1.630.733,18 
PE;LAGOA DO CARRO;2608453; 87.548,62 ; 96.303,48 ; 105.058,34 ; 113.813,20 ; 122.107,62 ; 131.207,83 ; 131.207,83 ; 139.955,01 ; 143.044,17 ; 143.300,03 ; 143.300,03 ; 143.300,03 ; 264.731,69 ; 1.764.877,88 
PE;LAGOA DO OURO;2608602; 78.153,24 ; 85.968,56 ; 93.783,88 ; 101.599,21 ; 109.005,05 ; 117.127,50 ; 117.127,50 ; 124.936,00 ; 127.679,25 ; 127.920,13 ; 127.920,13 ; 127.920,13 ; 236.318,93 ; 1.575.459,51 
PE;LAGOA DOS GATOS;2608701; 81.598,52 ; 89.758,37 ; 97.918,22 ; 106.078,08 ; 113.809,30 ; 122.290,64 ; 122.290,64 ; 130.443,35 ; 133.317,57 ; 133.560,36 ; 133.560,36 ; 133.560,36 ; 246.738,67 ; 1.644.924,44 
PE;LAGOA GRANDE;2608750; 90.329,65 ; 99.362,62 ; 108.395,58 ; 117.428,55 ; 125.953,35 ; 135.367,45 ; 135.367,45 ; 144.391,94 ; 147.881,43 ; 147.883,50 ; 147.883,50 ; 147.883,50 ; 273.199,16 ; 1.821.327,68 
PE;LAJEDO;2608800; 242.321,49 ; 266.553,64 ; 290.785,79 ; 315.017,94 ; 337.978,64 ; 363.164,39 ; 363.164,39 ; 387.375,35 ; 395.898,97 ; 396.630,30 ; 396.630,30 ; 396.630,30 ; 732.732,62 ; 4.884.884,12 
PE;LIMOEIRO;2608909; 103.449,75 ; 113.794,73 ; 124.139,70 ; 134.484,68 ; 144.329,54 ; 155.049,61 ; 155.049,61 ; 165.386,25 ; 168.634,97 ; 169.285,30 ; 169.285,30 ; 169.285,30 ; 312.736,72 ; 2.084.911,46 
PE;MANARI;2609154; 65.351,29 ; 71.886,41 ; 78.421,54 ; 84.956,67 ; 91.175,83 ; 97.947,95 ; 97.947,95 ; 104.477,82 ; 106.530,11 ; 106.940,92 ; 106.940,92 ; 106.940,92 ; 197.562,07 ; 1.317.080,40 
PE;MARAIAL;2609204; 59.799,86 ; 65.779,85 ; 71.759,83 ; 77.739,82 ; 83.405,19 ; 89.621,16 ; 89.621,16 ; 95.595,90 ; 97.706,40 ; 97.880,77 ; 97.880,77 ; 97.880,77 ; 180.824,39 ; 1.205.495,87 
PE;MIRANDIBA;2609303; 87.170,54 ; 95.887,59 ; 104.604,64 ; 113.321,69 ; 121.581,05 ; 130.641,40 ; 130.641,40 ; 139.350,83 ; 142.419,33 ; 142.680,42 ; 142.680,42 ; 142.680,42 ; 263.587,02 ; 1.757.246,75 
PE;MOREILANDIA;2614303; 55.107,09 ; 60.617,80 ; 66.128,51 ; 71.639,22 ; 76.860,52 ; 82.588,29 ; 82.588,29 ; 88.094,18 ; 90.034,80 ; 90.199,17 ; 90.199,17 ; 90.199,17 ; 166.633,45 ; 1.110.889,66 
PE;MORENO;2609402; 193.848,14 ; 213.232,95 ; 232.617,77 ; 252.002,58 ; 270.367,93 ; 290.517,35 ; 290.517,35 ; 309.885,17 ; 316.725,26 ; 317.291,66 ; 317.291,66 ; 317.291,66 ; 586.162,86 ; 3.907.752,34 
PE;NAZARE DA MATA;2609501; 90.045,83 ; 99.050,41 ; 108.055,00 ; 117.059,58 ; 125.590,93 ; 134.950,46 ; 134.950,46 ; 143.947,16 ; 147.120,95 ; 147.387,12 ; 147.387,12 ; 147.387,12 ; 272.282,15 ; 1.815.214,29 
PE;OROCO;2609808; 91.047,65 ; 100.152,42 ; 109.257,18 ; 118.361,94 ; 126.987,91 ; 136.451,78 ; 136.451,78 ; 145.548,57 ; 148.760,78 ; 149.027,22 ; 149.027,22 ; 149.027,22 ; 275.312,06 ; 1.835.413,73 
PE;OURICURI;2609907; 265.469,19 ; 292.016,11 ; 318.563,03 ; 345.109,95 ; 370.260,51 ; 397.854,72 ; 397.854,72 ; 424.378,37 ; 433.747,52 ; 434.521,56 ; 434.521,56 ; 434.521,56 ; 802.732,73 ; 5.351.551,53 
PE;PALMEIRINA;2610103; 37.108,97 ; 40.819,86 ; 44.530,76 ; 48.241,66 ; 51.757,30 ; 55.614,62 ; 55.614,62 ; 59.322,26 ; 60.633,33 ; 60.740,33 ; 60.740,33 ; 60.740,33 ; 112.211,35 ; 748.075,72 
PE;PANELAS;2610202; 192.514,04 ; 211.765,44 ; 231.016,85 ; 250.268,25 ; 268.519,30 ; 288.520,98 ; 288.520,98 ; 307.755,71 ; 314.438,24 ; 315.096,50 ; 315.096,50 ; 315.096,50 ; 582.107,53 ; 3.880.716,82 
PE;PARANATAMA;2610301; 75.378,22 ; 82.916,05 ; 90.453,87 ; 97.991,69 ; 105.133,62 ; 112.968,38 ; 112.968,38 ; 120.499,61 ; 123.154,00 ; 123.378,91 ; 123.378,91 ; 123.378,91 ; 227.929,51 ; 1.519.530,06 
PE;PARNAMIRIM;2610400; 49.016,73 ; 53.918,41 ; 58.820,08 ; 63.721,75 ; 68.386,42 ; 73.465,86 ; 73.465,86 ; 78.363,59 ; 79.902,91 ; 80.211,04 ; 80.211,04 ; 80.211,04 ; 148.181,43 ; 987.876,16 
PE;PASSIRA;2610509; 129.393,04 ; 142.332,35 ; 155.271,65 ; 168.210,96 ; 180.471,92 ; 193.919,99 ; 193.919,99 ; 206.847,99 ; 211.393,92 ; 211.789,15 ; 211.789,15 ; 211.789,15 ; 391.258,11 ; 2.608.387,37 
PE;PAUDALHO;2610608; 285.284,32 ; 313.812,75 ; 342.341,19 ; 370.869,62 ; 397.900,86 ; 427.552,19 ; 427.552,19 ; 456.055,67 ; 466.093,66 ; 466.951,92 ; 466.951,92 ; 466.951,92 ; 862.644,39 ; 5.750.962,60 
PE;PERNAMBUCO;26; 16.790.611,71 ; 18.469.672,88 ; 20.148.734,05 ; 21.827.795,22 ; 23.381.575,56 ; 25.154.597,37 ; 25.154.597,37 ; 26.831.570,52 ; 27.424.522,53 ; 27.472.958,04 ; 27.472.958,04 ; 27.472.958,04 ; 50.753.391,42 ; 338.355.942,75 
PE;PRIMAVERA;2611408; 55.041,55 ; 60.545,71 ; 66.049,86 ; 71.554,01 ; 76.769,03 ; 82.490,06 ; 82.490,06 ; 87.989,40 ; 89.927,93 ; 90.091,91 ; 90.091,91 ; 90.091,91 ; 166.435,30 ; 1.109.568,64 
PE;QUIPAPA;2611507; 97.114,58 ; 106.826,04 ; 116.537,50 ; 126.248,96 ; 135.450,85 ; 145.544,49 ; 145.544,49 ; 155.247,46 ; 158.663,28 ; 158.956,52 ; 158.956,52 ; 158.956,52 ; 293.655,39 ; 1.957.702,60 
PE;QUIXABA;2611533; 72.054,00 ; 79.259,40 ; 86.464,80 ; 93.670,20 ; 100.499,98 ; 107.987,12 ; 107.987,12 ; 115.186,26 ; 117.697,79 ; 117.935,14 ; 117.935,14 ; 117.935,14 ; 217.872,73 ; 1.452.484,82 
PE;RIACHO DAS ALMAS;2611705; 132.167,53 ; 145.384,29 ; 158.601,04 ; 171.817,79 ; 184.340,26 ; 198.077,75 ; 198.077,75 ; 211.282,93 ; 215.938,78 ; 216.331,70 ; 216.331,70 ; 216.331,70 ; 399.649,99 ; 2.664.333,21 
PE;RIBEIRAO;2611804; 135.581,55 ; 149.139,71 ; 162.697,86 ; 176.256,02 ; 189.103,27 ; 203.194,62 ; 203.194,62 ; 216.740,93 ; 221.505,20 ; 221.918,54 ; 221.918,54 ; 221.918,54 ; 409.971,08 ; 2.733.140,48 
PE;RIO FORMOSO;2611903; 149.322,91 ; 164.255,20 ; 179.187,49 ; 194.119,78 ; 208.270,05 ; 223.788,87 ; 223.788,87 ; 238.708,13 ; 243.946,69 ; 244.409,35 ; 244.409,35 ; 244.409,35 ; 451.520,48 ; 3.010.136,52 
PE;SAIRE;2612000; 25.644,26 ; 28.208,69 ; 30.773,12 ; 33.337,54 ; 35.778,06 ; 38.435,41 ; 38.435,41 ; 40.997,77 ; 41.803,10 ; 41.964,31 ; 41.964,31 ; 41.964,31 ; 77.524,63 ; 516.830,92 
PE;SALGADINHO;2612109; 29.880,38 ; 32.868,42 ; 35.856,46 ; 38.844,50 ; 41.676,42 ; 44.781,53 ; 44.781,53 ; 47.766,96 ; 48.812,63 ; 48.907,46 ; 48.907,46 ; 48.907,46 ; 90.351,38 ; 602.342,59 
PE;SALGUEIRO;2612208; 147.525,12 ; 162.277,63 ; 177.030,14 ; 191.782,65 ; 205.705,22 ; 221.080,21 ; 221.080,21 ; 235.818,89 ; 241.517,91 ; 241.521,25 ; 241.521,25 ; 241.521,25 ; 446.185,02 ; 2.974.566,75 
PE;SALOA;2612307; 101.510,48 ; 111.661,53 ; 121.812,58 ; 131.963,62 ; 141.585,25 ; 152.133,38 ; 152.133,38 ; 162.275,61 ; 165.816,53 ; 166.148,62 ; 166.148,62 ; 166.148,62 ; 306.942,04 ; 2.046.280,26 
PE;SANTA CRUZ DA BAIXA VERDE;2612471; 66.154,61 ; 72.770,07 ; 79.385,54 ; 86.001,00 ; 92.269,83 ; 99.145,28 ; 99.145,28 ; 105.754,96 ; 108.077,06 ; 108.280,95 ; 108.280,95 ; 108.280,95 ; 200.037,62 ; 1.333.584,10 
PE;SANTA MARIA DA BOA VISTA;2612604; 256.206,07 ; 281.826,67 ; 307.447,28 ; 333.067,88 ; 357.340,07 ; 383.972,01 ; 383.972,01 ; 409.570,14 ; 418.619,68 ; 419.360,38 ; 419.360,38 ; 419.360,38 ; 774.724,05 ; 5.164.827,00 
PE;SANTA MARIA DO CAMBUCA;2612703; 64.924,22 ; 71.416,64 ; 77.909,06 ; 84.401,49 ; 90.553,77 ; 97.301,31 ; 97.301,31 ; 103.788,06 ; 106.066,69 ; 106.267,03 ; 106.267,03 ; 106.267,03 ; 196.317,12 ; 1.308.780,76 
PE;SANTA TEREZINHA;2612802; 53.693,11 ; 59.062,42 ; 64.431,73 ; 69.801,05 ; 74.888,83 ; 80.469,29 ; 80.469,29 ; 85.833,91 ; 87.720,54 ; 87.884,34 ; 87.884,34 ; 87.884,34 ; 162.357,04 ; 1.082.380,23 
PE;SAO CAITANO;2613107; 170.000,79 ; 187.000,87 ; 204.000,95 ; 221.001,03 ; 237.107,30 ; 254.777,76 ; 254.777,76 ; 271.762,94 ; 277.758,85 ; 278.257,90 ; 278.257,90 ; 278.257,90 ; 514.052,11 ; 3.427.014,06 
PE;SAO JOAO;2613206; 137.601,83 ; 151.362,01 ; 165.122,19 ; 178.882,37 ; 191.920,19 ; 206.222,16 ; 206.222,16 ; 219.970,30 ; 224.813,59 ; 225.226,13 ; 225.226,13 ; 225.226,13 ; 416.081,51 ; 2.773.876,70 
PE;SAO JOAQUIM DO MONTE;2613305; 57.282,68 ; 63.010,94 ; 68.739,21 ; 74.467,48 ; 79.873,47 ; 85.843,46 ; 85.843,46 ; 91.566,35 ; 93.779,21 ; 93.780,53 ; 93.780,53 ; 93.780,53 ; 173.249,63 ; 1.154.997,48 
PE;SAO JOSE DO BELMONTE;2613503; 84.047,11 ; 92.451,82 ; 100.856,53 ; 109.261,24 ; 117.259,63 ; 125.969,10 ; 125.969,10 ; 134.367,04 ; 137.006,44 ; 137.534,80 ; 137.534,80 ; 137.534,80 ; 254.081,02 ; 1.693.873,43 
PE;SAO JOSE DO EGITO;2613602; 78.811,96 ; 86.693,15 ; 94.574,35 ; 102.455,54 ; 109.893,33 ; 118.107,10 ; 118.107,10 ; 125.980,91 ; 129.025,51 ; 129.027,26 ; 129.027,26 ; 129.027,26 ; 238.364,25 ; 1.589.094,98 
PE;SAO LOURENCO DA MATA;2613701; 414.624,32 ; 456.086,75 ; 497.549,18 ; 539.011,62 ; 578.297,92 ; 621.392,46 ; 621.392,46 ; 662.818,63 ; 677.408,81 ; 678.655,09 ; 678.655,09 ; 678.655,09 ; 1.253.743,67 ; 8.358.291,09 
PE;SAO VICENTE FERRER;2613800; 81.420,51 ; 89.562,56 ; 97.704,61 ; 105.846,66 ; 113.560,98 ; 122.023,85 ; 122.023,85 ; 130.158,77 ; 133.027,06 ; 133.269,03 ; 133.269,03 ; 133.269,03 ; 246.200,47 ; 1.641.336,41 
PE;SERRA TALHADA;2613909; 416.338,57 ; 457.972,43 ; 499.606,29 ; 541.240,14 ; 580.694,35 ; 623.962,96 ; 623.962,96 ; 665.560,49 ; 680.161,10 ; 681.455,77 ; 681.455,77 ; 681.455,77 ; 1.258.917,64 ; 8.392.784,24 
PE;SERTANIA;2614105; 145.102,11 ; 159.612,32 ; 174.122,53 ; 188.632,74 ; 202.380,94 ; 217.462,68 ; 217.462,68 ; 231.960,19 ; 237.069,86 ; 237.502,82 ; 237.502,82 ; 237.502,82 ; 438.761,39 ; 2.925.075,90 
PE;SIRINHAEM;2614204; 201.295,44 ; 221.424,98 ; 241.554,52 ; 261.684,07 ; 280.756,12 ; 301.678,81 ; 301.678,81 ; 321.790,73 ; 328.882,75 ; 329.480,30 ; 329.480,30 ; 329.480,30 ; 608.680,09 ; 4.057.867,22 
PE;SOLIDAO;2614402; 45.180,90 ; 49.698,99 ; 54.217,08 ; 58.735,17 ; 63.017,05 ; 67.712,32 ; 67.712,32 ; 72.226,47 ; 73.807,51 ; 73.950,96 ; 73.950,96 ; 73.950,96 ; 136.616,60 ; 910.777,29 
PE;SURUBIM;2614501; 230.203,68 ; 253.224,04 ; 276.244,41 ; 299.264,78 ; 321.078,02 ; 345.003,75 ; 345.003,75 ; 368.004,00 ; 376.094,48 ; 376.795,21 ; 376.795,21 ; 376.795,21 ; 696.089,39 ; 4.640.595,93 
PE;TABIRA;2614600; 140.423,87 ; 154.466,26 ; 168.508,64 ; 182.551,03 ; 195.857,99 ; 210.451,96 ; 210.451,96 ; 224.482,09 ; 229.408,76 ; 229.843,58 ; 229.843,58 ; 229.843,58 ; 424.611,76 ; 2.830.745,06 
PE;TACAIMBO;2614709; 52.896,16 ; 58.185,78 ; 63.475,39 ; 68.765,01 ; 73.776,49 ; 79.274,72 ; 79.274,72 ; 84.559,71 ; 86.425,15 ; 86.580,61 ; 86.580,61 ; 86.580,61 ; 159.948,53 ; 1.066.323,49 
PE;TACARATU;2614808; 50.788,96 ; 55.867,86 ; 60.946,75 ; 66.025,65 ; 70.818,78 ; 76.112,01 ; 76.112,01 ; 81.186,15 ; 83.148,17 ; 83.149,32 ; 83.149,32 ; 83.149,32 ; 153.609,59 ; 1.024.063,89 
PE;TERRA NOVA;2615201; 60.629,94 ; 66.692,94 ; 72.755,93 ; 78.818,92 ; 84.564,13 ; 90.865,49 ; 90.865,49 ; 96.923,19 ; 99.052,10 ; 99.238,31 ; 99.238,31 ; 99.238,31 ; 183.332,31 ; 1.222.215,37 
PE;TIMBAUBA;2615300; 166.942,64 ; 183.636,91 ; 200.331,17 ; 217.025,44 ; 232.843,73 ; 250.194,98 ; 250.194,98 ; 266.874,65 ; 272.746,97 ; 273.250,68 ; 273.250,68 ; 273.250,68 ; 504.801,80 ; 3.365.345,31 
PE;TRIUNFO;2615706; 88.146,35 ; 96.960,98 ; 105.775,62 ; 114.590,25 ; 122.942,94 ; 132.104,05 ; 132.104,05 ; 140.910,98 ; 144.006,10 ; 144.276,83 ; 144.276,83 ; 144.276,83 ; 266.536,21 ; 1.776.908,02 
