Anexo VII;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de agosto de 2026;;;;;;;;;;;;;;;;
Cronograma de Desembolso da Complementação da União-VAAR ao Fundeb no Ano de 2026 (art. 16, § 2º, da Lei nº 14.113/2020);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código 
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Janeiro do ano seguinte;Total
AL;FELIZ DESERTO;2702702; 18.150,11 ; 19.965,12 ; 21.780,13 ; 23.595,15 ; 25.322,46 ; 27.203,24 ; 27.203,24 ; 29.016,79 ; 29.586,79 ; 29.700,87 ; 29.700,87 ; 29.700,87 ; 54.869,22 ; 365.794,86 
AL;FLEXEIRAS;2702801; 85.904,52 ; 94.494,97 ; 103.085,42 ; 111.675,87 ; 119.815,88 ; 128.744,18 ; 128.744,18 ; 137.327,12 ; 140.345,84 ; 140.607,67 ; 140.607,67 ; 140.607,67 ; 259.757,83 ; 1.731.718,82 
AL;GIRAU DO PONCIANO;2702900; 168.697,92 ; 185.567,71 ; 202.437,50 ; 219.307,29 ; 235.361,59 ; 252.843,01 ; 252.843,01 ; 269.699,21 ; 274.996,98 ; 276.057,48 ; 276.057,48 ; 276.057,48 ; 509.987,06 ; 3.399.913,72 
AL;IBATEGUARA;2703007; 148.059,84 ; 162.865,82 ; 177.671,81 ; 192.477,79 ; 206.523,06 ; 221.899,60 ; 221.899,60 ; 236.692,91 ; 241.753,00 ; 242.328,02 ; 242.328,02 ; 242.328,02 ; 447.675,44 ; 2.984.502,93 
AL;IGACI;2703106; 147.256,74 ; 161.982,41 ; 176.708,08 ; 191.433,76 ; 205.385,41 ; 220.691,61 ; 220.691,61 ; 235.404,39 ; 240.596,42 ; 241.030,18 ; 241.030,18 ; 241.030,18 ; 445.277,82 ; 2.968.518,79 
AL;INHAPI;2703304; 160.924,07 ; 177.016,47 ; 193.108,88 ; 209.201,28 ; 224.449,10 ; 241.174,96 ; 241.174,96 ; 257.253,29 ; 262.915,69 ; 263.399,70 ; 263.399,70 ; 263.399,70 ; 486.603,15 ; 3.244.020,95 
AL;JACARE DOS HOMENS;2703403; 63.366,46 ; 69.703,10 ; 76.039,75 ; 82.376,39 ; 88.380,24 ; 94.966,49 ; 94.966,49 ; 101.297,59 ; 103.529,17 ; 103.718,09 ; 103.718,09 ; 103.718,09 ; 191.608,23 ; 1.277.388,18 
AL;JACUIPE;2703502; 48.280,18 ; 53.108,20 ; 57.936,22 ; 62.764,24 ; 67.339,02 ; 72.356,97 ; 72.356,97 ; 77.180,77 ; 78.877,88 ; 79.024,58 ; 79.024,58 ; 79.024,58 ; 145.989,57 ; 973.263,76 
AL;JAPARATINGA;2703601; 32.853,24 ; 36.138,56 ; 39.423,89 ; 42.709,21 ; 45.835,77 ; 49.240,16 ; 49.240,16 ; 52.522,84 ; 53.554,58 ; 53.761,08 ; 53.761,08 ; 53.761,08 ; 99.317,93 ; 662.119,58 
AL;JARAMATAIA;2703700; 41.912,28 ; 46.103,51 ; 50.294,74 ; 54.485,96 ; 58.457,77 ; 62.813,55 ; 62.813,55 ; 67.001,12 ; 68.471,57 ; 68.601,36 ; 68.601,36 ; 68.601,36 ; 126.733,78 ; 844.891,91 
AL;JOAQUIM GOMES;2703809; 54.203,62 ; 59.623,99 ; 65.044,35 ; 70.464,71 ; 75.622,98 ; 81.239,93 ; 81.239,93 ; 86.655,93 ; 88.358,16 ; 88.698,87 ; 88.698,87 ; 88.698,87 ; 163.861,81 ; 1.092.412,02 
AL;JUNDIA;2703908; 51.613,37 ; 56.774,71 ; 61.936,05 ; 67.097,38 ; 71.987,88 ; 77.352,36 ; 77.352,36 ; 82.509,18 ; 84.324,52 ; 84.480,43 ; 84.480,43 ; 84.480,43 ; 156.068,67 ; 1.040.457,77 
AL;LAGOA DA CANOA;2704104; 167.283,65 ; 184.012,02 ; 200.740,38 ; 217.468,74 ; 233.319,45 ; 250.706,08 ; 250.706,08 ; 267.419,82 ; 273.303,00 ; 273.808,72 ; 273.808,72 ; 273.808,72 ; 505.832,72 ; 3.372.218,10 
AL;LIMOEIRO DE ANADIA;2704203; 136.771,12 ; 150.448,23 ; 164.125,34 ; 177.802,46 ; 190.818,40 ; 204.991,40 ; 204.991,40 ; 218.657,49 ; 222.952,63 ; 223.812,43 ; 223.812,43 ; 223.812,43 ; 413.469,85 ; 2.756.465,61 
AL;MAJOR ISIDORO;2704401; 136.474,42 ; 150.121,86 ; 163.769,30 ; 177.416,74 ; 190.347,22 ; 204.532,40 ; 204.532,40 ; 218.167,90 ; 222.976,00 ; 223.381,26 ; 223.381,26 ; 223.381,26 ; 412.673,30 ; 2.751.155,32 
AL;MAR VERMELHO;2704906; 23.412,48 ; 25.753,73 ; 28.094,98 ; 30.436,23 ; 32.655,02 ; 35.088,09 ; 35.088,09 ; 37.427,29 ; 38.248,19 ; 38.321,14 ; 38.321,14 ; 38.321,14 ; 70.794,26 ; 471.961,78 
AL;MARAGOGI;2704500; 219.878,55 ; 241.866,40 ; 263.854,25 ; 285.842,11 ; 306.675,11 ; 329.529,12 ; 329.529,12 ; 351.497,72 ; 359.242,48 ; 359.896,92 ; 359.896,92 ; 359.896,92 ; 664.871,58 ; 4.432.477,20 
AL;MARAVILHA;2704609; 108.949,29 ; 119.844,22 ; 130.739,15 ; 141.634,08 ; 151.957,07 ; 163.280,96 ; 163.280,96 ; 174.166,36 ; 178.000,92 ; 178.327,75 ; 178.327,75 ; 178.327,75 ; 329.441,70 ; 2.196.277,96 
AL;MARIBONDO;2704807; 33.513,85 ; 36.865,23 ; 40.216,62 ; 43.568,00 ; 46.757,45 ; 50.230,27 ; 50.230,27 ; 53.578,96 ; 54.631,44 ; 54.842,10 ; 54.842,10 ; 54.842,10 ; 101.315,00 ; 675.433,39 
AL;MATA GRANDE;2705002; 164.241,22 ; 180.665,34 ; 197.089,46 ; 213.513,58 ; 229.074,13 ; 246.145,96 ; 246.145,96 ; 262.555,69 ; 268.348,87 ; 268.830,66 ; 268.830,66 ; 268.830,66 ; 496.636,28 ; 3.310.908,47 
AL;MONTEIROPOLIS;2705408; 76.136,33 ; 83.749,96 ; 91.363,60 ; 98.977,23 ; 106.190,38 ; 114.104,38 ; 114.104,38 ; 121.711,34 ; 124.398,34 ; 124.620,40 ; 124.620,40 ; 124.620,40 ; 230.223,03 ; 1.534.820,17 
AL;MURICI;2705507; 235.572,68 ; 259.129,95 ; 282.687,21 ; 306.244,48 ; 328.570,57 ; 353.051,24 ; 353.051,24 ; 376.587,98 ; 384.829,83 ; 385.579,26 ; 385.579,26 ; 385.579,26 ; 712.317,00 ; 4.748.779,96 
AL;NOVO LINO;2705606; 125.772,82 ; 138.350,11 ; 150.927,39 ; 163.504,67 ; 175.421,83 ; 188.494,22 ; 188.494,22 ; 201.060,50 ; 205.486,00 ; 205.864,32 ; 205.864,32 ; 205.864,32 ; 380.312,60 ; 2.535.417,32 
AL;OLHO DAGUA DAS FLORES;2705705; 147.873,15 ; 162.660,47 ; 177.447,78 ; 192.235,10 ; 206.246,06 ; 221.615,66 ; 221.615,66 ; 236.390,04 ; 241.595,24 ; 242.038,24 ; 242.038,24 ; 242.038,24 ; 447.140,10 ; 2.980.933,98 
AL;OLHO DAGUA DO CASADO;2705804; 31.869,74 ; 35.056,71 ; 38.243,69 ; 41.430,66 ; 44.463,64 ; 47.766,10 ; 47.766,10 ; 50.950,51 ; 51.951,37 ; 52.151,68 ; 52.151,68 ; 52.151,68 ; 96.344,74 ; 642.298,30 
AL;OLHO DAGUA GRANDE;2705903; 54.349,22 ; 59.784,15 ; 65.219,07 ; 70.653,99 ; 75.806,99 ; 81.453,37 ; 81.453,37 ; 86.883,60 ; 88.765,10 ; 88.955,32 ; 88.955,32 ; 88.955,32 ; 164.335,56 ; 1.095.570,38 
AL;OLIVENCA;2706000; 107.540,79 ; 118.294,86 ; 129.048,94 ; 139.803,02 ; 149.993,43 ; 161.170,27 ; 161.170,27 ; 171.914,95 ; 175.692,09 ; 176.021,50 ; 176.021,50 ; 176.021,50 ; 325.181,14 ; 2.167.874,26 
AL;OURO BRANCO;2706109; 105.815,46 ; 116.397,00 ; 126.978,55 ; 137.560,09 ; 147.585,81 ; 158.584,25 ; 158.584,25 ; 169.156,53 ; 172.883,79 ; 173.198,62 ; 173.198,62 ; 173.198,62 ; 319.966,17 ; 2.133.107,76 
AL;PALESTINA;2706208; 39.281,49 ; 43.209,64 ; 47.137,79 ; 51.065,94 ; 54.787,63 ; 58.870,61 ; 58.870,61 ; 62.795,31 ; 64.181,13 ; 64.296,13 ; 64.296,13 ; 64.296,13 ; 118.780,33 ; 791.868,87 
AL;PAO DE ACUCAR;2706406; 158.422,56 ; 174.264,81 ; 190.107,07 ; 205.949,32 ; 220.958,95 ; 237.425,69 ; 237.425,69 ; 253.254,07 ; 258.839,03 ; 259.306,34 ; 259.306,34 ; 259.306,34 ; 479.041,10 ; 3.193.607,31 
AL;PARICONHA;2706422; 63.124,66 ; 69.437,12 ; 75.749,59 ; 82.062,05 ; 88.042,62 ; 94.604,02 ; 94.604,02 ; 100.910,96 ; 103.137,25 ; 103.322,65 ; 103.322,65 ; 103.322,65 ; 190.877,69 ; 1.272.517,93 
AL;PASSO DE CAMARAGIBE;2706505; 106.284,46 ; 116.912,90 ; 127.541,35 ; 138.169,79 ; 148.239,24 ; 159.286,94 ; 159.286,94 ; 169.906,07 ; 173.656,51 ; 173.966,96 ; 173.966,96 ; 173.966,96 ; 321.385,61 ; 2.142.570,69 
AL;PAULO JACINTO;2706604; 40.870,11 ; 44.957,12 ; 49.044,13 ; 53.131,14 ; 57.004,32 ; 61.251,69 ; 61.251,69 ; 65.335,13 ; 66.767,81 ; 66.895,42 ; 66.895,42 ; 66.895,42 ; 123.582,24 ; 823.881,64 
AL;PENEDO;2706703; 365.474,19 ; 402.021,61 ; 438.569,03 ; 475.116,45 ; 509.750,91 ; 547.733,06 ; 547.733,06 ; 584.248,59 ; 597.061,91 ; 598.201,48 ; 598.201,48 ; 598.201,48 ; 1.105.114,11 ; 7.367.427,36 
AL;PIACABUCU;2706802; 113.807,83 ; 125.188,62 ; 136.569,40 ; 147.950,18 ; 158.733,30 ; 170.562,35 ; 170.562,35 ; 181.933,18 ; 185.940,53 ; 186.280,38 ; 186.280,38 ; 186.280,38 ; 344.133,34 ; 2.294.222,22 
AL;PILAR;2706901; 321.894,85 ; 354.084,33 ; 386.273,82 ; 418.463,30 ; 448.969,56 ; 482.421,48 ; 482.421,48 ; 514.582,91 ; 525.853,12 ; 526.870,01 ; 526.870,01 ; 526.870,01 ; 973.336,75 ; 6.488.911,63 
AL;PINDOBA;2707008; 8.330,46 ; 9.163,51 ; 9.996,56 ; 10.829,60 ; 11.615,84 ; 12.483,98 ; 12.483,98 ; 13.316,25 ; 13.638,07 ; 13.638,25 ; 13.638,25 ; 13.638,25 ; 25.195,23 ; 167.968,23 
AL;PIRANHAS;2707107; 158.441,59 ; 174.285,74 ; 190.129,90 ; 205.974,06 ; 220.985,67 ; 237.454,25 ; 237.454,25 ; 253.284,53 ; 258.868,69 ; 259.337,34 ; 259.337,34 ; 259.337,34 ; 479.098,36 ; 3.193.989,06 
AL;POCO DAS TRINCHEIRAS;2707206; 98.457,00 ; 108.302,70 ; 118.148,40 ; 127.994,10 ; 137.322,30 ; 147.556,14 ; 147.556,14 ; 157.393,21 ; 160.864,28 ; 161.154,62 ; 161.154,62 ; 161.154,62 ; 297.716,15 ; 1.984.774,28 
AL;PORTO CALVO;2707305; 218.868,14 ; 240.754,95 ; 262.641,77 ; 284.528,58 ; 305.264,42 ; 328.014,48 ; 328.014,48 ; 349.882,12 ; 357.604,08 ; 358.244,41 ; 358.244,41 ; 358.244,41 ; 661.818,75 ; 4.412.125,00 
AL;PORTO DE PEDRAS;2707404; 67.835,30 ; 74.618,83 ; 81.402,36 ; 88.185,89 ; 94.614,23 ; 101.664,18 ; 101.664,18 ; 108.441,79 ; 110.820,33 ; 111.031,60 ; 111.031,60 ; 111.031,60 ; 205.119,16 ; 1.367.461,05 
AL;PORTO REAL DO COLEGIO;2707503; 113.885,03 ; 125.273,53 ; 136.662,03 ; 148.050,53 ; 158.847,90 ; 170.679,77 ; 170.679,77 ; 182.058,42 ; 186.005,39 ; 186.400,16 ; 186.400,16 ; 186.400,16 ; 344.354,63 ; 2.295.697,48 
AL;RIO LARGO;2707701; 589.455,78 ; 648.401,36 ; 707.346,94 ; 766.292,52 ; 822.149,09 ; 883.411,43 ; 883.411,43 ; 942.305,52 ; 963.005,35 ; 964.813,96 ; 964.813,96 ; 964.813,96 ; 1.782.392,00 ; 11.882.613,30 
