ESCOLAS PÚBLICAS E CONVENIADAS QUE OFERECEM ATENDIMENTO EDUCACIONAL ESPECIALIZADO E MATRÍCULAS CONSIDERADAS NO FUNDEB 2026;;;;;;;;
UF;Município;Dependência Administrativa;Código Entidade no INEP;Entidade;Segmento;Alunos Contemplados;Categoria;Conveniada
AC;CRUZEIRO DO SUL;ESTADUAL;12000370;ESC CORA CORALINA;AEE - FUNDAMENTAL; 26 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000396;ESC CORAZITA NEGREIROS;AEE - FUNDAMENTAL; 27 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000345;ESC CORONEL CONTREIRAS;AEE - FUNDAMENTAL; 21 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000450;ESC CRAVEIRO COSTA;AEE - MÉDIO; 25 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12026620;ESC CRECHE AMIGUINHOS DE JESUS;AEE - INFANTIL; 6 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12027910;ESC CRECHE IRMA MARIA SUSANA FERREIRA DE SOUZA;AEE - INFANTIL; 20 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12026557;ESC CRECHE MAJOLUNE;AEE - INFANTIL; 10 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12027960;ESC CRECHE MARGARIDA DA SILVA PEDREIRA;AEE - INFANTIL; 28 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12041823;ESC CRECHE PROFESSORA MARIA EVANUZIA DOS SANTOS;AEE - INFANTIL; 13 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12026492;ESC CRECHE SANTA ROSA;AEE - INFANTIL; 14 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12029530;ESC CRECHE SAO FRANCISCO;AEE - INFANTIL; 10 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12023183;ESC DARCY BEZERRA;AEE - FUNDAMENTAL; 76 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12023183;ESC DARCY BEZERRA;AEE - INFANTIL; 11 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12026565;ESC DE ENSINO INFANTIL E FUNDAMENTAL JOIAS DE CRISTO;AEE - FUNDAMENTAL; 13 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12026565;ESC DE ENSINO INFANTIL E FUNDAMENTAL JOIAS DE CRISTO;AEE - INFANTIL; 6 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001236;ESC DIVINA PROVIDENCIA;AEE - FUNDAMENTAL; 63 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12020249;ESC DOM HENRIQUE RUTH;AEE - MÉDIO; 35 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000531;ESC DR VALERIO CALDAS DE MAGALHAES;AEE - FUNDAMENTAL; 6 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000531;ESC DR VALERIO CALDAS DE MAGALHAES;AEE - MÉDIO; 14 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12025402;ESC ELZIVANIA MENDONCA DA CONCEICAO;AEE - FUNDAMENTAL; 34 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12025402;ESC ELZIVANIA MENDONCA DA CONCEICAO;AEE - INFANTIL; 2 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000558;ESC EMIDIO BRAGA DE VASCONCELOS;AEE - FUNDAMENTAL; 23 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000558;ESC EMIDIO BRAGA DE VASCONCELOS;AEE - INFANTIL; 9 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000418;ESC FLODOARDO CABRAL;AEE - MÉDIO; 27 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000574;ESC FRANCISCA BARROS DE OLIVEIRA;AEE - FUNDAMENTAL; 4 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000590;ESC FRANCISCA RITA DE CASSIA LIMA PINTO;AEE - FUNDAMENTAL; 25 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000663;ESC GOVERNADOR HUGO CARNEIRO;AEE - FUNDAMENTAL; 30 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000671;ESC HELENA NOBRE;AEE - FUNDAMENTAL; 17 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000701;ESC HUMBERTO DE CAMPOS;AEE - FUNDAMENTAL; 13 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12097225;ESC INDIGENA TAMAKAYA;AEE - FUNDAMENTAL; 11 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12097225;ESC INDIGENA TAMAKAYA;AEE - MÉDIO; 1 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12028665;ESC IRMA DIANA;AEE - FUNDAMENTAL; 26 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12028665;ESC IRMA DIANA;AEE - INFANTIL; 6 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001759;ESC JARDIM DE INFANCIA SAO FRANCISCO;AEE - INFANTIL; 30 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001341;ESC JOAO BUSSONS;AEE - FUNDAMENTAL; 20 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000736;ESC JOAO KUBITSCHEK;AEE - FUNDAMENTAL; 37 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000736;ESC JOAO KUBITSCHEK;AEE - MÉDIO; 3 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000906;ESC JUAREZ IBERNON;AEE - MÉDIO; 13 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000876;ESC LUIZ ANTONIO MEIRIM PEDREIRA;AEE - FUNDAMENTAL; 29 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000930;ESC MANOEL BRAZ DE MELO;AEE - FUNDAMENTAL; 30 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000930;ESC MANOEL BRAZ DE MELO;AEE - MÉDIO; 9 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000973;ESC MARCILIO NUNES RIBEIRO II;AEE - MÉDIO; 10 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12018317;ESC MARGARIDA BATISTA DE LIMA;AEE - INFANTIL; 12 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12027979;ESC MARIA CIDALIA CORREIA LIMA DE MESSIAS;AEE - INFANTIL; 41 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001007;ESC MARIA DA CONCEICAO CASTRO LIMA;AEE - FUNDAMENTAL; 19 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001007;ESC MARIA DA CONCEICAO CASTRO LIMA;AEE - INFANTIL; 4 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001015;ESC MARIA DE NAZARE SANTIAGO;AEE - FUNDAMENTAL; 15 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001015;ESC MARIA DE NAZARE SANTIAGO;AEE - MÉDIO; 10 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12021962;ESC MARIA LIMA DE SOUZA;AEE - FUNDAMENTAL; 46 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12021890;ESC MARIA TEREZINHA DE JESUS SAAVEDRA;AEE - FUNDAMENTAL; 28 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12031976;ESC MUNICIPAL DE ENSINO INFANTIL MADRE ANSELMA;AEE - INFANTIL; 57 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12027901;ESC NISE VARELA;AEE - FUNDAMENTAL; 35 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001104;ESC NORBERTO ASSUNCAO CAVALCANTE;AEE - FUNDAMENTAL; 5 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001104;ESC NORBERTO ASSUNCAO CAVALCANTE;AEE - MÉDIO; 9 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12020230;ESC NOSSA SENHORA APARECIDA;AEE - FUNDAMENTAL; 13 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001139;ESC OLAVO BILAC;AEE - FUNDAMENTAL; 18 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000191;ESC PADRE ALFREDO NUSS;AEE - INFANTIL; 46 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001163;ESC PADRE CARLOS KUNZ;AEE - FUNDAMENTAL; 19 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001171;ESC PADRE CRISTOVAO FREIRE ARNAUD;AEE - FUNDAMENTAL; 26 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001180;ESC PADRE DAMIAO;AEE - FUNDAMENTAL; 29 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001147;ESC PADRE MARCELINO CHAMPAGNAT;AEE - FUNDAMENTAL; 36 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001732;ESC PADRE MARCELINO CHAMPAGNAT - INFANTIL;AEE - INFANTIL; 39 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001228;ESC PLACIDO DE CASTRO;AEE - FUNDAMENTAL; 23 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001228;ESC PLACIDO DE CASTRO;AEE - MÉDIO; 1 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001260;ESC PRESBITERIANA DE CRUZEIRO DO SUL;AEE - FUNDAMENTAL; 77 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001260;ESC PRESBITERIANA DE CRUZEIRO DO SUL;AEE - MÉDIO; 1 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000108;ESC PRESIDENTE TANCREDO DE ALMEIDA NEVES;AEE - FUNDAMENTAL; 17 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001309;ESC PROF QUITA;AEE - FUNDAMENTAL; 31 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001279;ESC PROFESSOR ANTONIO DE BARROS FREIRE;AEE - FUNDAMENTAL; 49 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12027286;ESC PROFESSORA NEUZA BERNARDINO DE SOUZA;AEE - FUNDAMENTAL; 34 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12027286;ESC PROFESSORA NEUZA BERNARDINO DE SOUZA;AEE - INFANTIL; 1 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001422;ESC RAIMUNDO CALPER;AEE - FUNDAMENTAL; 22 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001244;ESC RAIMUNDO QUIRINO NOBRE;AEE - INFANTIL; 21 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001317;ESC RAINHA DA FLORESTA;AEE - FUNDAMENTAL; 11 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001317;ESC RAINHA DA FLORESTA;AEE - MÉDIO; 7 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001333;ESC REGO BARROS;AEE - FUNDAMENTAL; 28 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001392;ESC RUI BARBOSA;AEE - FUNDAMENTAL; 27 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001520;ESC SANTA BARBARA;AEE - FUNDAMENTAL; 22 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001520;ESC SANTA BARBARA;AEE - INFANTIL; 6 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001554;ESC SANTA LUZIA;AEE - FUNDAMENTAL; 16 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001554;ESC SANTA LUZIA;AEE - MÉDIO; 3 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001457;ESC SAO JOSE;AEE - FUNDAMENTAL; 34 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001490;ESC SEBASTIANA SILENE VALENTE;AEE - FUNDAMENTAL; 16 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001490;ESC SEBASTIANA SILENE VALENTE;AEE - MÉDIO; 1 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001597;ESC THAUMATURGO DE AZEVEDO;AEE - FUNDAMENTAL; 24 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12057223;ESC UNIVERSO INFANTIL;AEE - FUNDAMENTAL; 29 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001627;ESC VISCONDE DO RIO BRANCO;AEE - FUNDAMENTAL; 12 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001627;ESC VISCONDE DO RIO BRANCO;AEE - MÉDIO; 1 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000124;ESC 17 DE NOVEMBRO;AEE - FUNDAMENTAL; 8 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000124;ESC 17 DE NOVEMBRO;AEE - INFANTIL; 8 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000159;ESC 7 DE SETEMBRO;AEE - FUNDAMENTAL; 26 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001295;ESCOLA MARIA DE NAZARE LIMA;AEE - INFANTIL; 18 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12088226;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL LUCILA LOPES LIMA;AEE - INFANTIL; 17 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001740;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL OSVALDO ALBUQUERQUE LIMA;AEE - INFANTIL; 31 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12032492;ESCOLA MUNICIPAL DE ENSINO BASICO ALFREDO SALES;AEE - FUNDAMENTAL; 21 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12032492;ESCOLA MUNICIPAL DE ENSINO BASICO ALFREDO SALES;AEE - INFANTIL; 6 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12029548;ESCOLA MUNICIPAL DE ENSINO INFANTIL BRINQUEDOTECA;AEE - INFANTIL; 25 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12026603;ESCOLA MUNICIPAL PROFESSORA FRANCISCA LIMA DA SILVA;AEE - FUNDAMENTAL; 23 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12001066;ESCOLA MUSTAFA ALMEIDA TOBU;AEE - FUNDAMENTAL; 35 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000132;ESCOLA 21 DE ABRIL;AEE - FUNDAMENTAL; 12 ;;
AC;EPITACIOLANDIA;MUNICIPAL;12028940;ESC BELA FLOR;AEE - FUNDAMENTAL; 60 ;;
AC;EPITACIOLANDIA;ESTADUAL;12031674;ESC BELO PORVIR;AEE - MÉDIO; 15 ;;
AC;EPITACIOLANDIA;ESTADUAL;12017094;ESC BRASIL BOLIVIA;AEE - FUNDAMENTAL; 31 ;;
AC;EPITACIOLANDIA;ESTADUAL;12017108;ESC CIVICO-MILITAR JOANA RIBEIRO AMED;AEE - FUNDAMENTAL; 38 ;;
AC;EPITACIOLANDIA;MUNICIPAL;12017205;ESC JOAO PEDRO DA SILVA;AEE - FUNDAMENTAL; 21 ;;
AC;EPITACIOLANDIA;MUNICIPAL;12017205;ESC JOAO PEDRO DA SILVA;AEE - INFANTIL; 16 ;;
AC;EPITACIOLANDIA;MUNICIPAL;12017230;ESC JOSE HASSEM HALL FILHO;AEE - FUNDAMENTAL; 21 ;;
AC;EPITACIOLANDIA;MUNICIPAL;12017230;ESC JOSE HASSEM HALL FILHO;AEE - INFANTIL; 12 ;;
AC;EPITACIOLANDIA;ESTADUAL;12017060;ESC LUIZ GONZAGA DA ROCHA;AEE - FUNDAMENTAL; 17 ;;
AC;EPITACIOLANDIA;ESTADUAL;12017060;ESC LUIZ GONZAGA DA ROCHA;AEE - MÉDIO; 4 ;;
AC;EPITACIOLANDIA;MUNICIPAL;12018821;ESC RAIMUNDA DA CUNHA AIRES;AEE - FUNDAMENTAL; 20 ;;
AC;EPITACIOLANDIA;MUNICIPAL;12018821;ESC RAIMUNDA DA CUNHA AIRES;AEE - INFANTIL; 15 ;;
AC;FEIJO;MUNICIPAL;12004014;ESC ANTONIO FENELON DE OLIVEIRA;AEE - FUNDAMENTAL; 12 ;;
