;;;;;;;;
ESCOLAS DE EDUCAÇÃO PROFISSIONAL E MATRÍCULAS CONSIDERADAS NO FUNDEB 2026;;;;;;;;
UF;Município;Código da Escola no INEP;CNPJ;Entidade;Segmento;Categoria;Conveniada; Número de Alunos 
AC;RIO BRANCO;12032166;;ESC PROF RAIMUNDA SILVA PARA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;138,00
AC;RIO BRANCO;12032468;;ESC FREI HEITOR MARIA TURRINI;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;4,00
AC;RIO BRANCO;12032468;;ESC FREI HEITOR MARIA TURRINI;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;100,00
AC;RIO BRANCO;12033359;;ESC COLEGIO MILITAR TIRADENTES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;RIO BRANCO;12033367;;ESC COLEGIO MILITAR DOM PEDRO II;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;12,00
AC;RIO BRANCO;12033383;;ESC CENTRO DE EDUCACAO PROFISSIONAL E TECNOLOGICO DE GASTRON;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;83,00
AC;RIO BRANCO;12033898;;ESC INTEGRAL ESTER MAIA DE OLIVEIRA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;20,00
AC;RIO BRANCO;12044636;;ESC PROF PEDRO MARTINELLO;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;66,00
AC;RIO BRANCO;12044636;;ESC PROF PEDRO MARTINELLO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;248,00
AC;RIO BRANCO;12044822;;ESC SEBASTIAO PEDROSA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;207,00
AC;RIO BRANCO;12052221;;ESC PROF CLICIA GADELHA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;3,00
AC;RIO BRANCO;12091251;;ESC PROF TEREZINHA MIGUEIS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;2,00
